,run0,run1,run2,run3
154,0.0,0.0,0.0,0.0
155,0.0,0.0,4.0,2.0
156,4.0,2.0,4.0,3.0
157,5.0,3.0,4.0,1.0
158,0.0,1.0,4.0,0.0
159,1.0,0.0,4.0,1.0
160,1.0,0.0,12.0,1.0
161,0.0,0.0,0.0,1.0
162,4.0,0.0,0.0,3.0
163,4.0,4.0,1.0,1.0
164,5.0,4.0,5.0,1.0
165,5.0,4.0,5.0,5.0
166,4.0,4.0,4.0,1.0
167,5.0,0.0,0.0,1.0
168,7.0,4.0,0.0,1.0
169,1.0,4.0,0.0,1.0
170,2.0,6.0,2.0,1.0
171,2.0,6.0,3.0,1.0
172,2.0,2.0,3.0,1.0
173,2.0,0.0,5.0,1.0
174,4.0,1.0,5.0,0.0
175,4.0,1.0,5.0,0.0
176,5.0,5.0,5.0,2.0
177,3.0,5.0,1.0,2.0
178,1.0,4.0,1.0,0.0
179,1.0,5.0,3.0,1.0
180,1.0,9.0,3.0,2.0
181,1.0,9.0,2.0,4.0
182,1.0,0.0,3.0,2.0
183,8.0,0.0,1.0,3.0
184,9.0,0.0,1.0,1.0
185,9.0,0.0,1.0,1.0
186,1.0,0.0,0.0,0.0
187,0.0,2.0,0.0,4.0
188,2.0,2.0,0.0,5.0
189,2.0,3.0,0.0,1.0
190,3.0,3.0,1.0,3.0
191,2.0,1.0,1.0,2.0
192,3.0,1.0,7.0,3.0
193,7.0,1.0,7.0,1.0
194,5.0,1.0,3.0,5.0
195,1.0,1.0,2.0,7.0
196,0.0,0.0,2.0,3.0
197,1.0,8.0,3.0,1.0
198,3.0,8.0,2.0,1.0
199,7.0,8.0,3.0,1.0
200,1.0,9.0,3.0,0.0
201,3.0,1.0,3.0,0.0
202,1.0,1.0,3.0,1.0
203,7.0,1.0,3.0,1.0
204,1.0,1.0,2.0,1.0
205,1.0,1.0,3.0,0.0
206,1.0,1.0,3.0,8.0
207,5.0,3.0,5.0,2.0
208,5.0,0.0,1.0,0.0
209,1.0,0.0,1.0,1.0
210,7.0,0.0,5.0,1.0
211,7.0,1.0,7.0,1.0
212,6.0,1.0,5.0,5.0
213,7.0,5.0,5.0,4.0
214,7.0,5.0,5.0,4.0
215,3.0,0.0,4.0,0.0
216,3.0,0.0,4.0,0.0
217,1.0,0.0,4.0,6.0
218,1.0,12.0,5.0,2.0
219,0.0,12.0,5.0,0.0
220,0.0,0.0,1.0,0.0
221,1.0,0.0,0.0,0.0
222,3.0,0.0,1.0,0.0
223,2.0,0.0,5.0,0.0
224,0.0,1.0,4.0,4.0
225,0.0,3.0,0.0,5.0
226,1.0,5.0,2.0,4.0
227,1.0,4.0,3.0,5.0
228,3.0,2.0,1.0,5.0
229,11.0,2.0,1.0,12.0
230,1.0,2.0,5.0,12.0
231,5.0,2.0,3.0,12.0
232,6.0,3.0,10.0,13.0
233,7.0,3.0,0.0,5.0
234,3.0,2.0,1.0,1.0
235,1.0,2.0,3.0,0.0
236,3.0,2.0,1.0,0.0
237,1.0,2.0,5.0,0.0
238,3.0,2.0,1.0,2.0
239,1.0,0.0,4.0,2.0
240,1.0,0.0,4.0,0.0
241,3.0,2.0,4.0,1.0
242,3.0,2.0,5.0,0.0
243,3.0,2.0,5.0,2.0
244,3.0,0.0,1.0,2.0
245,2.0,0.0,0.0,0.0
246,2.0,0.0,6.0,2.0
247,3.0,2.0,7.0,3.0
248,3.0,2.0,5.0,2.0
249,7.0,3.0,5.0,2.0
250,7.0,2.0,6.0,2.0
251,6.0,3.0,7.0,0.0
252,2.0,3.0,7.0,1.0
253,2.0,1.0,9.0,1.0
254,2.0,5.0,0.0,3.0
255,3.0,5.0,0.0,7.0
256,1.0,5.0,0.0,7.0
257,3.0,3.0,1.0,5.0
258,1.0,3.0,1.0,5.0
259,1.0,3.0,1.0,5.0
260,3.0,3.0,1.0,5.0
261,1.0,5.0,1.0,5.0
262,1.0,5.0,0.0,5.0
263,1.0,1.0,0.0,3.0
264,3.0,1.0,0.0,2.0
265,2.0,9.0,2.0,2.0
266,2.0,2.0,6.0,6.0
267,3.0,0.0,2.0,2.0
268,3.0,1.0,3.0,3.0
269,5.0,1.0,1.0,6.0
270,1.0,4.0,3.0,2.0
271,1.0,4.0,2.0,2.0
272,1.0,6.0,3.0,2.0
273,1.0,6.0,3.0,2.0
274,0.0,6.0,3.0,6.0
275,1.0,6.0,3.0,2.0
276,1.0,6.0,1.0,2.0
277,4.0,2.0,0.0,2.0
278,4.0,3.0,0.0,0.0
279,4.0,2.0,2.0,2.0
280,5.0,2.0,3.0,3.0
281,7.0,3.0,1.0,3.0
282,7.0,1.0,1.0,3.0
283,3.0,3.0,1.0,3.0
284,3.0,2.0,3.0,3.0
285,2.0,2.0,5.0,2.0
286,3.0,2.0,7.0,2.0
287,7.0,2.0,3.0,2.0
288,3.0,6.0,3.0,2.0
289,2.0,6.0,5.0,2.0
290,0.0,2.0,7.0,3.0
291,0.0,2.0,5.0,3.0
292,2.0,2.0,5.0,3.0
293,2.0,2.0,1.0,2.0
294,4.0,2.0,1.0,3.0
295,5.0,3.0,3.0,1.0
296,13.0,3.0,0.0,0.0
297,13.0,2.0,1.0,2.0
298,1.0,2.0,5.0,3.0
299,1.0,2.0,7.0,1.0
300,3.0,2.0,3.0,1.0
301,3.0,0.0,1.0,0.0
302,2.0,2.0,0.0,1.0
303,6.0,0.0,0.0,5.0
304,6.0,2.0,0.0,5.0
305,7.0,3.0,1.0,5.0
306,3.0,5.0,1.0,5.0
307,1.0,4.0,2.0,5.0
308,1.0,6.0,2.0,5.0
309,3.0,6.0,6.0,6.0
310,3.0,6.0,2.0,7.0
311,2.0,7.0,2.0,7.0
312,14.0,2.0,2.0,3.0
313,8.0,2.0,2.0,1.0
314,0.0,2.0,3.0,0.0
315,0.0,3.0,3.0,1.0
316,0.0,3.0,7.0,1.0
317,0.0,3.0,5.0,5.0
318,6.0,1.0,5.0,7.0
319,4.0,3.0,4.0,3.0
320,4.0,5.0,5.0,3.0
321,4.0,5.0,5.0,3.0
322,4.0,5.0,0.0,0.0
323,4.0,5.0,1.0,0.0
324,5.0,5.0,1.0,0.0
325,1.0,1.0,1.0,0.0
326,0.0,1.0,1.0,2.0
327,0.0,1.0,5.0,0.0
328,0.0,1.0,1.0,2.0
329,6.0,0.0,1.0,2.0
330,0.0,0.0,1.0,3.0
331,0.0,0.0,1.0,3.0
332,4.0,1.0,1.0,2.0
333,5.0,3.0,7.0,2.0
334,1.0,2.0,7.0,6.0
335,3.0,2.0,5.0,6.0
336,3.0,0.0,1.0,2.0
337,1.0,0.0,1.0,3.0
338,1.0,4.0,1.0,3.0
339,1.0,4.0,1.0,2.0
340,3.0,4.0,5.0,2.0
341,3.0,4.0,5.0,2.0
342,3.0,5.0,5.0,0.0
343,3.0,5.0,4.0,1.0
344,3.0,5.0,6.0,1.0
345,3.0,1.0,6.0,1.0
346,3.0,1.0,6.0,2.0
347,1.0,1.0,4.0,3.0
